 Spectrum , Sample , Throughput , K -Ka Area , K -Ka AreaStd , Ca-Ka Area , Ca-Ka AreaStd , Ti-Ka Area , Ti-Ka AreaStd , Mn-Ka Area , Mn-Ka AreaStd , Fe-Ka Area , Fe-Ka AreaStd , Co-Ka Area , Co-Ka AreaStd , Ni-Ka Area , Ni-Ka AreaStd , Cu-Ka Area , Cu-Ka AreaStd , Zn-Ka Area , Zn-Ka AreaStd , Ga-Ka Area , Ga-Ka AreaStd , As-Ka Area , As-Ka AreaStd , Br-Ka Area , Br-Ka AreaStd , Rb-Ka Area , Rb-Ka AreaStd , Sr-Ka Area , Sr-Ka AreaStd , Y -Ka Area , Y -Ka AreaStd , Zr-Ka Area , Zr-Ka AreaStd , Nb-Ka Area , Nb-Ka AreaStd , Mo-Ka Area , Mo-Ka AreaStd , Rh-Ka-Inc Area , Rh-Ka-Inc AreaStd , Rh-Ka-Coh Area , Rh-Ka-Coh AreaStd 
363-U1487A-3H-5-A_SHLF8287861 X 160.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,160,1.49E+05,909,43,69139,251,642,38,1450,48,44634,205,367,52,4770,74,329,32,428,33,76,26,100,28,1982,54,686,59,49934,233,383,81,2495,144,215,133,209,171,47408,554,30144,328
363-U1487A-3H-5-A_SHLF8287861 X 180.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,180,1.48E+05,923,42,73108,258,599,38,1315,47,43825,204,352,52,4816,74,290,31,425,33,61,25,71,27,1897,54,748,58,49022,231,564,80,2701,143,84,131,508,170,46863,548,29138,325
363-U1487A-3H-5-A_SHLF8287861 X 200.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,200,1.48E+05,947,41,70563,253,607,37,1334,47,43975,204,386,53,4748,74,227,31,433,33,93,25,84,26,1961,54,504,58,49384,232,514,80,2594,143,45,133,336,172,47779,549,29645,327
363-U1487A-3H-5-A_SHLF8287861 X 220.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,220,1.48E+05,742,41,70546,254,522,36,1387,48,43185,203,365,53,4715,74,242,30,385,32,77,25,60,26,1908,54,646,58,50707,235,329,79,2536,144,83,133,59,171,46614,551,29029,327
363-U1487A-3H-5-A_SHLF8287861 X 240.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,240,1.47E+05,943,43,71602,255,597,38,1272,47,43484,203,457,54,4672,74,259,31,379,32,63,25,126,27,1747,52,696,57,49288,231,457,79,2542,143,116,132,45,170,48108,549,29597,324
363-U1487A-3H-5-A_SHLF8287861 X 260.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,260,1.47E+05,829,41,74755,260,607,38,1364,47,44961,206,554,54,4729,74,251,31,379,32,81,26,92,28,1849,53,597,56,49400,232,466,80,2377,142,112,131,239,169,46783,544,29834,324
363-U1487A-3H-5-A_SHLF8287861 X 280.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,280,1.46E+05,818,40,70912,254,755,39,1498,49,46228,209,362,53,4710,74,247,32,452,33,74,25,124,27,1844,53,558,57,48767,231,495,80,3108,145,158,132,328,170,46156,545,29396,323
363-U1487A-3H-5-A_SHLF8287861 X 300.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,300,1.54E+05,867,43,53937,223,1243,46,1468,51,87763,286,923,69,4598,75,280,34,429,34,84,27,73,27,2039,55,900,60,40552,213,885,84,5321,151,166,135,395,173,48178,553,29263,327
363-U1487A-3H-5-A_SHLF8287861 X 320.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,320,1.48E+05,915,41,60326,234,1622,49,1707,53,93591,295,1091,71,4473,75,270,32,575,36,82,27,79,28,1592,50,722,57,37622,205,1128,83,7145,152,627,131,176,166,42970,530,28481,317
363-U1487A-3H-5-A_SHLF8287861 X 340.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,340,1.44E+05,818,40,75648,262,739,39,1496,49,48049,213,496,55,4594,73,285,31,409,32,70,25,101,27,1707,52,504,56,48014,229,588,79,3304,143,215,129,146,167,45186,537,29573,319
363-U1487A-3H-5-A_SHLF8287861 X 360.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,360,1.44E+05,638,39,78830,267,403,35,1514,48,37954,190,423,51,4780,74,280,30,386,30,55,23,91,27,1889,53,401,56,51654,236,324,79,2309,141,429,128,278,167,45514,534,29241,320
363-U1487A-3H-5-A_SHLF8287861 X 380.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,380,1.44E+05,830,37,78869,266,514,36,1478,48,39037,193,339,51,4637,74,240,31,335,31,73,25,74,26,1738,51,488,55,50846,234,495,79,2811,142,145,128,235,167,45112,536,29410,319
363-U1487A-3H-5-A_SHLF8287861 X 400.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,400,1.42E+05,681,37,82278,272,630,36,1507,48,38239,191,308,49,4626,74,271,32,396,32,70,24,149,26,1649,51,403,55,49534,232,320,78,2640,142,108,127,121,164,44175,532,29021,317
363-U1487A-3H-5-A_SHLF8287861 X 420.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,420,1.43E+05,747,36,93399,290,307,31,1420,47,26269,159,221,43,4801,74,245,30,338,31,64,24,88,25,1645,51,414,54,52995,239,310,77,1568,138,78,126,202,164,43030,530,29174,318
363-U1487A-3H-5-A_SHLF8287861 X 440.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,440,1.43E+05,776,39,79998,269,451,35,1466,48,34061,180,379,49,4851,75,242,31,373,32,61,24,96,27,1733,51,459,55,51646,236,471,79,2536,142,187,129,283,166,44453,536,29270,321
363-U1487A-3H-5-A_SHLF8287861 X 460.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,460,1.44E+05,672,37,85817,278,400,33,1446,47,26580,160,277,45,4664,73,219,31,353,31,37,24,79,26,1776,52,446,55,52678,239,491,78,1957,141,374,130,338,168,45540,535,29467,321
363-U1487A-3H-5-A_SHLF8287861 X 480.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,480,1.42E+05,710,34,87856,281,476,35,1443,47,32185,176,366,48,4629,73,223,31,351,31,42,24,96,26,1675,51,382,55,51190,236,310,78,2172,141,82,128,320,165,43814,533,28658,318
363-U1487A-3H-5-A_SHLF8287861 X 500.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,500,1.39E+05,538,35,96340,294,238,31,1103,44,42936,202,364,52,4594,73,171,29,334,30,81,23,116,26,1440,48,383,52,47666,227,134,72,1320,131,310,124,203,159,40365,520,28188,309
363-U1487A-3H-5-A_SHLF8287861 X 520.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,520,1.43E+05,590,37,90839,286,347,32,1353,45,24284,153,281,45,4767,74,215,31,293,30,37,24,75,25,1933,54,429,55,55158,243,320,77,1944,140,228,128,568,165,43881,534,28738,320
363-U1487A-3H-5-A_SHLF8287861 X 540.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,540,1.42E+05,503,38,89671,285,267,32,1263,45,27522,163,271,45,4852,74,199,30,318,30,57,25,75,26,1948,53,300,55,51403,236,376,76,1801,136,304,127,292,165,42500,531,28660,318
363-U1487A-3H-5-A_SHLF8287861 X 560.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,560,1.44E+05,706,36,91693,287,193,30,1264,44,25456,157,219,44,4816,74,158,30,305,31,32,24,81,26,1903,54,338,54,53050,239,320,77,1690,139,155,128,213,165,44395,533,29105,321
363-U1487A-3H-5-A_SHLF8287861 X 580.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,580,1.43E+05,588,38,91005,287,292,32,1244,45,30402,171,275,47,4714,73,256,30,358,30,73,24,114,27,1889,54,316,54,50895,234,227,76,1596,137,203,128,36,165,44960,535,29590,319
363-U1487A-3H-5-A_SHLF8287861 X 600.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,600,1.44E+05,560,38,88655,283,189,32,1291,45,26151,159,261,44,4718,74,222,31,328,30,92,24,64,26,1989,54,384,54,52377,237,412,77,1981,138,203,129,269,166,44574,536,29141,321
363-U1487A-3H-5-A_SHLF8287861 X 620.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,620,1.42E+05,666,38,86583,280,236,33,1334,45,30698,171,387,47,4738,74,198,30,272,30,36,24,111,27,1786,52,377,54,50200,233,254,77,2014,139,543,128,305,166,45064,535,29225,319
363-U1487A-3H-5-A_SHLF8287861 X 640.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,640,1.44E+05,732,37,79059,267,406,34,1283,46,30510,172,274,48,4750,74,202,31,343,32,42,24,89,27,1921,54,503,56,49707,232,400,78,2099,141,135,130,90,168,46341,538,28763,322
363-U1487A-3H-5-A_SHLF8287861 X 660.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,660,1.45E+05,695,39,75556,262,373,34,1339,46,33436,179,385,50,4667,74,192,31,362,32,39,25,127,28,1895,54,548,57,50595,235,402,80,2212,143,28,130,57,168,47005,543,28896,324
363-U1487A-3H-5-A_SHLF8287861 X 680.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,680,1.43E+05,626,38,80049,269,388,34,1263,45,30993,172,296,47,4777,74,216,30,346,31,26,24,80,26,1953,54,545,55,49777,232,223,78,1825,139,144,129,157,167,46912,538,28941,321
363-U1487A-3H-5-A_SHLF8287861 X 700.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,700,1.42E+05,662,36,87790,281,345,33,1096,43,29883,169,255,45,4657,73,203,30,323,30,69,24,85,26,1673,51,391,54,47643,228,420,78,1956,137,96,128,90,167,44920,531,28155,317
363-U1487A-3H-5-A_SHLF8287861 X 720.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,720,1.44E+05,738,36,78471,266,436,34,1342,45,35778,185,316,49,4739,74,167,30,276,31,66,25,117,27,1819,53,480,56,48631,230,446,77,2479,140,130,130,139,168,46545,541,29306,323
363-U1487A-3H-5-A_SHLF8287861 X 740.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,740,1.45E+05,781,37,76909,264,504,36,1386,47,39367,194,390,52,4682,74,163,31,379,33,46,24,84,27,1904,54,631,57,48810,230,426,78,2290,141,93,130,101,167,45767,541,28714,322
363-U1487A-3H-5-A_SHLF8287861 X 760.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,760,1.46E+05,887,39,79426,268,457,35,1353,47,35787,185,318,49,4849,75,208,31,349,31,87,25,79,26,1819,53,526,55,50589,234,362,78,2444,142,76,129,272,168,45885,545,29235,324
363-U1487A-3H-5-A_SHLF8287861 X 780.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,780,1.47E+05,815,39,78167,266,528,38,1470,49,41573,199,420,53,4741,75,245,31,445,33,76,25,80,27,1867,53,692,57,50049,233,504,79,2450,142,175,128,225,169,47236,543,29391,323
363-U1487A-3H-5-A_SHLF8287861 X 800.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,800,1.45E+05,774,37,80613,270,558,36,1294,46,39395,193,438,51,4846,74,212,29,324,31,43,25,91,27,1719,52,423,56,47647,228,351,78,2549,140,203,129,92,168,45698,540,29272,321
363-U1487A-3H-5-A_SHLF8287861 X 820.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,820,1.42E+05,681,38,84855,277,542,37,1261,45,41199,198,383,51,4651,74,247,31,337,31,72,25,89,26,1510,49,557,54,45780,223,348,77,2222,138,79,128,242,164,42751,531,28355,316
363-U1487A-3H-5-A_SHLF8287861 X 840.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,840,1.44E+05,809,40,72890,257,669,38,1524,49,46597,210,411,53,4637,74,282,31,351,32,80,26,68,26,1762,52,639,57,47725,228,315,79,2674,142,374,129,754,167,45000,536,28659,320
363-U1487A-3H-5-A_SHLF8287861 X 860.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,860,1.44E+05,891,37,75161,260,655,37,1458,48,45223,207,375,53,4724,74,220,31,321,32,64,25,83,27,1672,52,552,56,46663,226,234,78,2713,140,294,130,515,167,45182,531,29188,319
363-U1487A-3H-5-A_SHLF8287861 X 880.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,880,1.44E+05,797,39,74691,260,698,38,1507,49,46868,211,440,54,4744,74,272,31,437,32,38,25,96,26,1769,52,528,56,47407,227,349,80,2682,141,254,129,373,167,44953,539,29170,321
363-U1487A-3H-5-A_SHLF8287861 X 900.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,900,1.44E+05,711,39,79580,269,446,35,1452,47,33539,179,297,48,4666,73,254,31,329,32,24,24,93,26,1752,52,489,56,50995,235,395,77,2275,141,457,130,280,167,45267,538,29570,322
363-U1487A-3H-5-A_SHLF8287861 X 920.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,920,1.40E+05,781,38,73340,257,660,38,1381,47,46122,209,434,53,4707,74,258,31,438,32,67,25,105,26,1786,51,491,55,44903,222,456,77,2914,139,259,127,631,162,43777,530,28209,316
363-U1487A-3H-5-A_SHLF8287861 X 940.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,940,1.43E+05,868,39,75293,261,698,38,1421,47,46588,210,513,54,4723,74,259,31,458,34,41,26,130,27,1793,52,628,57,46215,224,618,80,2646,140,117,129,471,168,43942,534,28831,320
363-U1487A-3H-5-A_SHLF8287861 X 960.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,960,1.45E+05,795,39,73949,259,591,37,1538,50,48955,215,480,55,4690,74,219,31,513,33,74,25,126,27,1924,54,516,56,47374,227,521,79,2489,140,435,130,111,167,44350,535,28912,321
363-U1487A-3H-5-A_SHLF8287861 X 980.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,980,1.46E+05,636,38,82113,273,443,36,1356,47,35642,185,348,50,4669,74,200,32,395,32,46,24,66,27,2054,54,519,55,49789,232,405,79,2448,142,168,130,277,169,45083,540,29915,323
363-U1487A-3H-5-A_SHLF8287861 X1000.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1000,1.45E+05,704,37,81479,271,567,36,1303,46,38911,192,415,51,4694,74,180,31,347,32,51,25,71,26,1919,54,492,56,48675,230,291,77,2345,140,303,130,27,167,46185,538,29727,323
363-U1487A-3H-5-A_SHLF8287861 X1020.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1020,1.44E+05,552,36,83661,275,508,36,1262,44,37850,190,328,49,4719,74,286,31,333,31,49,25,178,27,1913,54,315,54,47434,227,375,78,2154,139,179,128,56,166,44536,536,29341,320
363-U1487A-3H-5-A_SHLF8287861 X1040.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1040,1.44E+05,742,38,82709,273,590,36,1419,47,37105,188,302,49,4861,75,260,31,367,32,38,25,108,27,1841,52,480,56,49088,231,246,77,2256,140,153,129,419,166,45301,536,29357,321
363-U1487A-3H-5-A_SHLF8287861 X1060.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1060,1.46E+05,817,38,79493,268,594,37,1408,48,37874,190,361,51,4725,74,264,32,349,31,91,25,84,27,1875,53,533,56,49826,232,454,79,2504,143,63,130,346,169,45395,545,29661,324
363-U1487A-3H-5-A_SHLF8287861 X1080.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1080,1.42E+05,863,36,85349,277,563,36,1170,45,40883,197,368,51,4756,74,185,29,333,31,17,24,114,27,1671,51,597,55,45502,223,223,76,2484,138,150,128,233,164,43747,529,29232,317
363-U1487A-3H-5-A_SHLF8287861 X1100.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1100,1.45E+05,830,38,82497,273,594,37,1239,45,38718,192,372,51,4823,75,215,31,470,33,50,24,92,27,1804,53,426,54,47188,227,407,79,2986,143,229,129,305,166,44808,540,29521,322
363-U1487A-3H-5-A_SHLF8287861 X1120.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1120,1.46E+05,726,39,85706,278,488,37,1305,47,38426,191,374,51,4689,74,289,31,388,31,38,23,130,26,1819,53,461,55,48233,229,558,77,2810,141,361,129,96,168,44692,541,29856,322
363-U1487A-3H-5-A_SHLF8287861 X1140.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1140,1.45E+05,713,37,83238,274,572,37,1282,46,39847,195,353,52,4812,75,190,31,345,32,42,25,88,27,1817,53,527,55,47368,227,421,78,2669,142,318,131,264,167,45248,539,29176,322
363-U1487A-3H-5-A_SHLF8287861 X1160.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1160,1.46E+05,824,38,82194,272,607,37,1415,47,39169,193,332,51,4797,75,238,31,419,33,82,26,81,27,1876,53,518,56,49129,231,269,79,2896,143,322,130,140,167,46157,542,29692,323
363-U1487A-3H-5-A_SHLF8287861 X1180.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1180,1.44E+05,700,38,81740,272,592,37,1352,47,42433,201,443,53,4664,74,176,31,432,34,74,26,124,28,1825,52,378,54,46749,226,460,78,2854,141,120,128,447,167,44056,536,29154,321
363-U1487A-3H-5-A_SHLF8287861 X1200.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1200,1.45E+05,711,38,81489,271,598,37,1312,47,40424,196,319,51,4876,75,320,32,423,32,70,25,98,26,1936,52,364,56,47136,227,473,78,2883,142,151,130,81,167,44284,539,29213,322
363-U1487A-3H-5-A_SHLF8287861 X1220.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1220,1.46E+05,717,39,78970,268,645,39,1381,47,43790,204,419,52,4663,74,188,31,439,33,58,24,126,27,1921,53,546,55,46307,225,487,80,3443,145,295,130,21,167,45532,538,29680,322
363-U1487A-3H-5-A_SHLF8287861 X1240.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1240,1.45E+05,702,38,76549,263,688,38,1362,48,42031,200,370,52,4820,75,272,31,473,33,100,26,128,27,1947,54,576,56,47025,226,568,78,3290,143,315,131,295,168,46303,540,29422,321
363-U1487A-3H-5-A_SHLF8287861 X1260.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1260,1.43E+05,752,37,82905,273,609,38,1170,44,43905,204,333,51,4720,74,224,31,446,33,93,25,91,27,1774,51,390,54,45132,222,525,78,2719,140,176,127,221,164,44804,533,28965,318
363-U1487A-3H-5-A_SHLF8287861 X1280.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1280,1.42E+05,795,38,79027,267,814,40,1226,46,52597,222,470,56,4541,74,209,32,464,34,43,24,194,28,1675,51,525,54,43149,217,653,77,3346,141,11,128,238,165,43578,530,28187,316
363-U1487A-3H-5-A_SHLF8287861 X1300.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1300,1.45E+05,750,39,72443,256,949,42,1320,48,57974,234,553,59,4608,74,185,32,478,34,46,25,202,29,1929,53,476,54,43089,218,598,80,4210,145,360,130,232,168,44117,536,28261,319
363-U1487A-3H-5-A_SHLF8287861 X1320.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1320,1.45E+05,755,38,76052,262,805,40,1297,47,51775,221,507,56,4621,74,202,31,509,34,102,25,172,28,1844,53,537,56,43653,219,687,80,3666,143,309,131,379,167,45446,538,28666,320
363-U1487A-3H-5-A_SHLF8287861 X1340.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1340,1.44E+05,771,37,73450,258,772,39,1375,47,46518,210,518,54,4733,74,236,31,460,33,70,25,116,27,1856,53,518,54,44773,222,536,80,4310,145,362,130,282,168,45822,534,28678,319
363-U1487A-3H-5-A_SHLF8287861 X1360.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1360,1.42E+05,735,38,70436,253,803,40,1263,47,53133,224,515,56,4695,74,275,31,434,32,111,26,129,28,1823,53,548,54,42401,216,756,80,4148,144,445,130,123,167,43865,531,28403,316
363-U1487A-3H-5-A_SHLF8287861 X1380.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1380,1.38E+05,803,37,75477,261,638,37,1294,46,45315,207,432,53,4697,74,232,30,451,32,89,25,143,27,1589,50,529,53,40555,211,441,78,3913,141,373,128,516,165,42375,522,27891,313
363-U1487A-3H-5-A_SHLF8287861 X1400.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1400,1.46E+05,659,41,74625,261,579,37,1489,47,37965,190,409,51,4828,74,296,31,441,33,96,26,147,27,1977,54,505,56,46820,227,801,82,4774,150,393,132,374,170,46606,544,29709,324
363-U1487A-3H-5-A_SHLF8287861 X1420.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1420,1.44E+05,694,40,72952,258,495,36,1450,48,39434,194,483,52,4729,74,180,31,526,34,120,25,96,27,1721,52,602,56,45996,225,964,83,5638,152,774,133,-10,169,45460,536,28966,322
363-U1487A-3H-5-A_SHLF8287861 X1440.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1440,1.45E+05,864,41,74898,261,534,37,1422,48,42664,201,389,52,4741,74,233,31,531,35,59,26,99,27,1653,51,568,56,44831,222,1031,83,5890,153,374,132,219,168,45483,538,29064,321
363-U1487A-3H-5-A_SHLF8287861 X1460.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1460,1.45E+05,918,43,56816,228,738,39,1418,48,49909,217,424,55,4661,74,170,31,549,37,73,28,170,28,1765,52,870,58,39040,209,1675,89,9296,164,631,136,377,171,47339,544,29113,323
363-U1487A-3H-5-A_SHLF8287861 X1480.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1480,1.57E+05,1258,47,40065,193,1436,48,1432,50,81592,276,947,68,4685,75,230,32,1022,43,176,29,169,29,1882,55,1156,62,32295,193,2680,99,15433,182,1286,144,64,178,49098,564,29607,334
363-U1487A-3H-5-A_SHLF8287861 X1490.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,1490,1.50E+05,1173,46,40073,193,1061,44,1479,49,69811,256,715,64,4714,76,239,32,871,40,112,28,116,28,1655,52,1088,60,31901,192,2588,96,14280,177,1432,140,391,175,47497,561,29211,331
363-U1487A-3H-6-A_SHLF8287891 X  20.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,20,1.50E+05,948,42,56444,227,525,37,1517,49,44311,205,416,54,4713,75,286,32,572,37,50,27,71,28,2087,56,743,59,44875,223,1358,89,7996,165,629,140,527,176,50902,567,29926,331
363-U1487A-3H-6-A_SHLF8287891 X  40.0mm   6s  30kV 1250uA Pd-Thick DC10.0mm CC12.0mm Y  0.0mm Run2 Rep0 Sett Middle.spe,40,1.50E+05,828,40,59844,234,640,39,1555,50,50282,218,378,55,4835,75,330,33,495,35,61,26,173,28,2031,55,713,59,45173,223,808,84,4779,152,182,137,120,173,48501,558,29731,330
